likes,main_category,no_faces,avg_age,date,adult_score,color_fg,color_bg,tags,objects
321112,people,0,0,2017-06-24,0.0050703175365924835,Pink,Pink,woman person dress clothing,person
245154,building,0,0,2017-06-25,0.0034980420023202896,White,Grey,sky outdoor,plant
279328,others,1,53.0,2017-07-03,0.004772189073264599,White,Black,text,person
299499,people,0,0,2017-07-05,0.06988058984279633,Black,Pink,person food outdoor,person
314749,others,0,0,2017-07-07,0.004627025220543146,Grey,Black,tree outdoor sky ground clothing person,car car car car person
359672,indoor,0,0,2017-07-15,0.014168448746204376,Pink,Pink,ground cartoon footwear clothing person text,person person person person person
320286,abstract,0,0,2017-07-19,0.56220942735672,Grey,Grey,person outdoor fashion footwear,person
280828,others,0,0,2017-07-25,0.07425449788570404,Black,White,person food,
289101,outdoor,0,0,2017-07-31,0.11076456308364868,Black,Grey,tree outdoor ground clothing person woman footwear,person
285725,outdoor,0,0,2017-08-01,0.39958325028419495,Black,Grey,tree outdoor clothing person,person
249497,outdoor,0,0,2017-08-01,0.004100834019482136,Grey,Grey,outdoor,
308938,food,0,0,2017-08-02,0.0014327698154374957,White,White,food,bowl bowl cup
353655,people,1,24.0,2017-08-09,0.30342385172843933,Black,Purple,clothing person human_face woman smile fashion,person person
306558,None,0,0,2017-08-23,0.00032593630021438,Yellow,White,food,dog person
312953,others,3,30.666666666666668,2017-08-25,0.00813923217356205,White,White,human_face person clothing woman text smile girl,person person person
359016,outdoor,1,25.0,2017-08-30,0.0015099489828571677,White,White,person indoor food cartoon,person
324183,others,1,23.0,2017-08-30,0.0016298152040690184,Black,Pink,person woman human_face fashion girl clothing,person
263805,others,0,0,2017-08-31,0.0676010474562645,White,White,footwear,
253211,others,0,0,2017-09-01,0.13884223997592926,White,White,,person
404418,people,1,21.0,2017-09-03,0.026050539687275887,Black,White,outdoor sky person girl clothing fashion woman,luggage_and_bags person
286225,others,1,22.0,2017-09-05,0.029140030965209007,Black,Black,person fashion_accessory clothing human_face fashion smile,person
298640,abstract,1,24.0,2017-09-05,0.009691241197288036,Black,Black,clothing person human_face fashion fashion_accessory dress woman,person
345783,others,0,0,2017-09-12,0.02083723247051239,Black,Black,person woman clothing fashion human_face smile girl,person
220598,abstract,0,0,2017-09-18,0.011269145645201206,White,White,cartoon text,
334442,others,0,0,2017-09-24,0.01170614454895258,Black,Black,cartoon person human_face smile clothing,
347939,outdoor,1,31.0,2017-09-25,0.012809847481548786,Grey,Grey,tree outdoor clothing ground person footwear woman smile girl,person
272511,others,0,0,2017-09-27,0.048566535115242004,Blue,Blue,clothing dress person woman human_face fashion,person person
267687,others,0,0,2017-09-27,0.25876563787460327,Black,Yellow,cartoon food,person
335409,people,1,25.0,2017-10-02,0.0017915790667757392,Black,Black,person woman human_face smile clothing fashion posing fashion_accessory girl,person
239291,outdoor,0,0,2017-10-06,0.0018464166205376387,Grey,Grey,outdoor tree ground,
290130,people,2,25.5,2017-10-07,0.0022698170505464077,Black,White,person sky outdoor human_face woman fashion_accessory posing clothing girl,person person
232165,others,1,24.0,2017-10-07,0.0038543229456990957,Black,White,text person clothing smile posing,luggage_and_bags person
288476,others,0,0,2017-10-10,0.12211555987596512,Black,Grey,person,
363407,people,2,17.5,2017-10-18,0.009730711579322815,Pink,Grey,person human_face clothing woman smile girl,plant person person
210687,others,1,26.0,2017-10-22,0.00316256913356483,Pink,Blue,cartoon text,person plant
330652,outdoor,1,23.0,2017-10-23,0.012276554480195045,Black,Grey,sky tree outdoor clothing person woman footwear,person
238807,others,0,0,2017-10-24,0.015964439138770103,White,White,,
334827,people,1,29.0,2017-10-25,0.004258225206285715,Black,White,tree outdoor person,person dog
273787,others,0,0,2017-10-28,0.035973407328128815,Black,White,fashion_accessory,
339006,plant,1,24.0,2017-10-28,0.002729767933487892,Brown,Brown,tree outdoor ground,person
324683,people,5,29.6,2017-10-31,0.022648783400654793,Black,Red,person clothing posing smile footwear text woman human_face,person person person person person
341336,outdoor,1,27.0,2017-11-01,0.0029142899438738823,Black,Grey,outdoor person clothing footwear fashion woman,person
370045,building,1,25.0,2017-11-03,0.005466668400913477,White,White,outdoor sky ground clothing footwear person woman,person
298699,building,0,0,2017-11-04,0.0015543309273198247,Black,Black,sky outdoor,plant person
325906,others,0,0,2017-11-05,0.014680463820695877,Red,Black,sky,
264952,others,0,0,2017-11-12,0.005730663891881704,Black,White,cartoon text,
341215,others,1,21.0,2017-11-14,0.0252874493598938,Red,Blue,person clothing,person
336921,plant,0,0,2017-11-16,0.002583208493888378,White,Brown,cartoon,person
269683,others,0,0,2017-11-17,0.014878259040415287,Black,Yellow,indoor fashion_accessory,luggage_and_bags
296982,others,1,21.0,2017-11-21,0.013431449420750141,Black,Black,indoor person human_face clothing text woman,person person
392531,people,1,23.0,2017-11-21,0.002945930464193225,Red,Black,text dress person woman fashion clothing footwear,person
314898,plant,0,0,2017-11-27,0.00682130316272378,Black,Black,person,
263156,abstract,0,0,2017-12-01,0.010667952708899975,Black,Pink,text,
288047,people,1,24.0,2017-12-02,0.014891574159264565,White,White,text person fashion_accessory woman human_face clothing girl posing,person
267562,abstract,0,0,2017-12-19,0.12325038760900497,Yellow,Yellow,person fashion_accessory,
253778,abstract,0,0,2017-12-24,0.0023079824168235064,White,White,,
316056,others,0,0,2017-12-25,0.0031460647005587816,White,White,,dog
367592,outdoor,1,22.0,2017-12-30,0.004848056472837925,White,White,person clothing,plant person
320799,outdoor,0,0,2018-01-11,0.009759261272847652,Black,Blue,outdoor sky tree person clothing posing,person
307599,people,3,22.666666666666668,2018-01-12,0.07598031312227249,Black,Grey,person fashion_accessory human_face smile clothing cartoon,dog person dog person person person
353831,outdoor,1,27.0,2018-01-13,0.00364448013715446,Black,Grey,sky outdoor ground clothing woman person footwear smile girl,person
